STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,AMPS,KW,NON_KWH,MEM_KWH,MEM_FEE_PER_MONTH,RATE_PER_MIN,FLATE_FEE
Whole Foods Market,EVgo,2941 Ygnacio Valley Road,Walnut Creek,CA,94598,125,50,0.35,0.3,6.99,NULL,NULL
Kennedy Swim Center,ChargePoint,4300 Cutting Boulevard,Richmond,CA,94804,100,50,0.18,NULL,NULL,NULL,NULL
Facebook - Jefferson Drive,ChargePoint,162 Jefferson Drive MPK 27,Menlo Park,CA,94025,100,50,0,NULL,NULL,NULL,NULL
Summit House,EVgo,23123 Santa Cruz Highway,Los Gatos,CA,95033,125,50,0.35,0.3,6.99,NULL,NULL
1624 Dell Avenue,None,1624 Dell Avenue,Campbell,CA,95008,NULL,NULL,0,NULL,NULL,NULL,NULL
Visitor Center,ChargePoint,Nasa Parkway,Mountain View,CA,94043,100,50,0.25,NULL,NULL,NULL,NULL
Walmart,EVgo,777 Story Road,San Jose,CA,95122,125,50,0.35,0.3,6.99,NULL,NULL
Sprouts,EVgo,1300 Pinole Valley Road,Pinole,CA,94564,125,50,0.35,0.3,6.99,NULL,NULL
Walmart,EVgo,2701 North Texas Street,Fairfield,CA,94533,125,50,0.35,0.3,6.99,NULL,NULL
254 E Hacienda Avenue,ChargePoint,250 East Hacienda Avenue,Campbell,CA,95008,52,23.9,0.25,NULL,NULL,NULL,NULL
Walmart,EVgo,301 Ranch Drive,Milpitas,CA,95035,125,50,0.35,0.3,6.99,NULL,NULL
ABB San Jose,EVgo,3055 Orchard Drive,San Jose,CA,95134,125,50,0.35,0.3,6.99,NULL,NULL
Connection Cafe: A Chiropractic Center,Unknown (edit),3920 Smith St,Union City,CA,94587,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brisbane Village,ChargePoint,108 Old County Road,Brisbane,CA,94005,100,50,0.2,NULL,NULL,NULL,NULL
Whole Foods Market,EVgo,790 De Long Avenue,Novato,CA,94945,125,50,0.35,0.3,6.99,NULL,NULL
Nob Hill Foods,EVgo,1250 Grant Road,Mountain View,CA,94040,125,50,0.35,0.3,6.99,NULL,NULL
Efficient Drivetrains,None,1181 Cadillac Ct,Milpitas,CA,95035,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Meta - Jefferson Drive,ChargePoint,220 Jefferson Drive,Menlo Park,CA,94025,100,50,0,NULL,NULL,NULL,NULL
ETM Electromatic Inc,ChargePoint,35463 Dumbarton Ct,Newark,CA,94560,62,62,0.12,NULL,NULL,NULL,NULL
Western States Oil,EVConnect,1790 South 10th Street,San Jose,CA,95112,300,120,0.35,NULL,NULL,NULL,NULL
Facebook,ChargePoint,135 Commonwealth Drive,Menlo Park,CA,94025,62,62,0,NULL,NULL,NULL,NULL
Santa Nella Circle K,ChargePoint,12754 CA-33,Gustine,CA,95322,62,62,0.58,NULL,NULL,NULL,NULL
Diablo Plaza,Unknown (edit),2421 San Ramon Valley Blvd,San Ramon,CA,94583,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1198 El Camino,EVgo,1198 El Camino,Colma,CA,94014,125,50,0.35,0.3,6.99,NULL,NULL
San Francisco Premium Outlets,Electrify America,2774 Livermore Outlets Drive,Livermore,CA,94551,875,350,0.43,0.31,4,NULL,NULL
Chevron - Willow Road,EVgo,1399 Willow Road,Menlo Park,CA,94025,125,50,0.35,0.3,6.99,NULL,NULL
Gilroy Outlets,Electrify America,681 Leavesley Road,Gilroy,CA,95020,875,350,0.43,0.31,4,NULL,NULL
Walmart - Patterson,Electrify America,1030 Sperry Avenue,Patterson,CA,95363,875,350,0.43,0.31,4,NULL,NULL
200 N 3rd Avenue,ChargePoint,200 North 3rd Avenue,Oakdale,CA,95361,62,62,0.58,NULL,NULL,NULL,NULL
Novato Fair Shopping Center,Electrify America,900 Diablo Avenue,Novato,CA,94947,875,350,0.43,0.31,4,NULL,NULL
Great Mall,"Tesla, Electrify America",447 Great Mall Drive,Milpitas,CA,95035,180,72,NULL,NULL,NULL,NULL,NULL
555 Mission - Parking Garage,None,555 Mission Street,San Francisco,CA,94105,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Harley Davisdon,ChargePoint,13900 Harlan Road,Lathrop,CA,95330,50,24,0,NULL,NULL,NULL,NULL
Harley Davisdon,ChargePoint,7576 Southfront Road,Livermore,CA,94551,50,24,0.25,NULL,NULL,0.33,NULL
Woodmans Food Marke,ChargePoint,151 Hegenberger Road,Oakland,CA,94621,50,24,0.25,NULL,NULL,NULL,NULL
Harley Davidson,ChargePoint,93 1st Avenue North,Pacheco,CA,94553,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Walmart - Turlock,Electrify America,2111 Fulkerth Road,Turlock,CA,95380,875,350,0.43,0.31,4,NULL,NULL
Valley Water,ChargePoint,Almaden & Via Monte,San Jose,CA,95123,62,62,0.19,NULL,NULL,NULL,NULL
Sonoma County Harley-Davidson,ChargePoint,7601 Redwood Drive,Cotati,CA,94931,50,24,0.23,NULL,NULL,NULL,NULL
Magnolia Square Shopping Center,Electrify America,2005 Crow Canyon Place,San Ramon,CA,94583,875,350,0.43,0.31,4,NULL,NULL
Greene Middle School,Powerflex,750 North California Avenue,Palo Alto,CA,94303,NULL,NULL,0.1,NULL,NULL,NULL,NULL
Metro - Pleasanton,Electrify America,4575 Rosewood Drive,Pleasanton,CA,94588,875,350,0.43,0.31,4,NULL,NULL
Lucky - Concord,Electrify America,5190 Clayton Road,Concord,CA,94521,875,350,0.43,0.31,4,NULL,NULL
Covington Elementary School,Powerflex,201 Covington Road,Los Altos,CA,94024,NULL,NULL,NULL,NULL,NULL,NULL,NULL
