STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,AMPS,KW,NON_KWH,MEM_KWH,MEM_FEE_PER_MONTH,RATE_PER_MIN,FLATE_FEE
Cruisers #14,None,1297 Highway 4,Arnold,CA,95223,125,50,0.45,NULL,NULL,NULL,NULL
Homewood Suites San Jose Airport Silicon Valley,EVgo,10 West Trimble Road,San Jose,CA,95131,125,50,0.35,0.3,6.99,NULL,NULL
Parking Lot 107 - Sunnyvale,EVgo,107 South Sunnyvale Avenue,Sunnyvale,CA,94086,125,50,0.35,0.3,6.99,NULL,NULL
East Middlefield Road,EVgo,199 East Middlefield Road,Mountain View,CA,94043,125,50,0.35,0.3,6.99,NULL,NULL
Lakewood Shopping Center,EVgo,1161 North Lawrence Expy,Sunnyvale,CA,94089,125,50,0.35,0.3,6.99,NULL,NULL
TA Santa Nella,Shell Recharge,12310 CA-33,Santa Nella,CA,95322,200,100,0.5,NULL,NULL,NULL,NULL
Valley Mountain Regional Center,EVCS,1820 Blue Gum Avenue,Modesto,CA,95358,NULL,NULL,0.29,NULL,NULL,NULL,NULL
Johnson Hotel-Doubletree,Electrify America,7050 Johnson Drive,Pleasanton,CA,94588,875,350,0.43,0.31,4,NULL,NULL
Target,Electrify America,2700 5th Street,Alameda,CA,94501,875,350,0.43,0.31,4,NULL,NULL
Lake Park Lot Grand Lake,EVgo,519 Lake Park Avenue,Oakland,CA,94610,125,50,0.35,0.3,6.99,NULL,NULL
Target,Electrify America,1000 Commerce Avenue,AtWater,CA,95301,875,350,0.43,0.31,4,NULL,NULL
Salvador Chevron,ChargePoint,1895 Salvador Avenue,Napa,CA,94558,62,62,0.5,NULL,NULL,NULL,NULL
Meta Mpk60-16,ChargePoint,150 Independence Drive,Menlo Park,CA,94025,62,62,0,NULL,NULL,NULL,NULL
Santa Teresa Village,EVgo,7160 Santa Teresa Boulevard,San Jose,CA,95139,125,50,0.35,0.3,6.99,NULL,NULL
Jack London Square,EVgo,409 Washington Street,Oakland,CA,94607,125,50,0.35,0.3,6.99,NULL,NULL
Quail Lakes Center,EVCS,4733 Quail Lakes Drive,Stockton,CA,95207,NULL,NULL,0.49,NULL,NULL,NULL,NULL
1943 Soscol Avenue,ChargePoint,1943 Soscol Avenue,Napa,CA,94559,62,62,0,NULL,NULL,NULL,NULL
Caltrans District 9 Office,None,500 South Main Street,Bishop,CA,93514,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34021 CA-120,ChargePoint,34021 CA-120,Groveland,CA,95321,62,62,0.58,NULL,NULL,NULL,NULL
Vons - Bishop,Electrify America,1190 North Main Street,Bishop,CA,93514,875,350,0.43,0.31,4,NULL,NULL
Central Valley Bank,Electrify America,40004 CA-41,Oakhurst,CA,93644,875,350,0.43,0.31,4,NULL,NULL
Old Mill Village,ChargePoint,40050 CA-49,Oakhurst,CA,93644,62,62,0.58,NULL,NULL,NULL,NULL
Shell - Bridgeport,Electrify America,453 Main Street,Bridgeport,CA,93517,875,350,0.43,0.31,4,NULL,NULL
Hanlees Davis Nissan,None,5009 Chiles Road,Davis,CA,95618,NULL,NULL,0,NULL,NULL,NULL,NULL
Nissan of Elk Grove,None,8590 Laguna Grove Drive,Elk Grove,CA,95757,NULL,NULL,0,NULL,NULL,NULL,NULL
Nissan of Sacramento,None,2820 Auburn Boulevard,Sacramento,CA,95821,NULL,NULL,0,NULL,NULL,NULL,NULL
Bella Vista Road Park & Ride Lot,None,782 Davis Ct,Vacaville,CA,95687,NULL,NULL,0,NULL,NULL,NULL,NULL
Winner Chevrolet,None,1624 South Canyon Way,Colfax,CA,95713,NULL,NULL,0,NULL,NULL,NULL,NULL
Jim Bone Nissan,None,1275 Santa Rosa Avenue,Santa Rosa,CA,95404,NULL,NULL,0,NULL,NULL,NULL,NULL
Greenwood Ridge Vineyards,"Tesla, None",5501 Highway 128,Philo,CA,95466,NULL,NULL,0,NULL,NULL,NULL,NULL
Future Nissan of Folsom,None,12610 Auto Mall Circle,Folsom,CA,95630,NULL,NULL,0,NULL,NULL,NULL,NULL
Future Nissan of Roseville,None,600 Automall Drive,Roseville,CA,95661,NULL,NULL,0,NULL,NULL,NULL,NULL
Panda Express,EVgo,5414 Crossings Drive,Rocklin,CA,95677,125,50,0.35,0.3,6.99,NULL,NULL
Jim Bone Auto Group,Shell Recharge,1255 Santa Rosa Avenue,Santa Rosa,CA,95404,125,50,0.35,NULL,NULL,NULL,NULL
Chico Nissan,None,575 Manzanita Avenue,Chico,CA,95926,NULL,NULL,0,NULL,NULL,NULL,NULL
Esquire Plaza,ChargePoint,1215 K Street,Sacramento,CA,95814,100,50,0,NULL,NULL,NULL,NULL
Chico Volkswagen,ChargePoint,902 Oroville Avenue,Chico,CA,95928,26,23.9,0.25,NULL,NULL,NULL,NULL
Santa Rosa Plaza,EVgo,1071 Santa Rosa Plz,Santa Rosa,CA,95401,125,50,0.35,0.3,6.99,NULL,NULL
Davis Commons,EVgo,500 1st Street,Davis,CA,95616,125,50,0.35,0.3,6.99,NULL,NULL
Bel Air Grocery,EVgo,2760 East Bidwell Street,Folsom,CA,95630,125,50,0.35,0.3,6.99,NULL,NULL
Vacaville Premium Outlets,EVgo,321 Nut Tree Road,Vacaville,CA,95687,125,50,0.35,0.3,6.99,NULL,NULL
Arco AM-PM,ChargePoint,310 Orange Drive,Vacaville,CA,95687,50,24,0.25,NULL,NULL,0.04,NULL
Sacramento Municipal Utility District,None,6151 South Street,Sacramento,CA,95817,NULL,NULL,0.23,NULL,NULL,NULL,NULL
Whole Foods Market - Arden Way,EVgo,4315 Arden Way,Sacramento,CA,95864,125,50,0.35,0.3,6.99,NULL,NULL
288 Golf Course Drive,ChargePoint,288 Golf Course Drive,Rohnert Park,CA,94928,100,50,0,NULL,NULL,NULL,NULL
Butte College Skyway Center,EVgo,2480 Notre Dame Boulevard,Chico,CA,95928,125,50,0.35,0.3,6.99,NULL,NULL
"Loomis, CA Supercharger","Tesla, EVgo",6119 Horseshoe Bar Road,Loomis,CA,95650,125,50,0.35,0.3,6.99,NULL,NULL
Raley's,EVgo,3935 Park Drive,El Dorado Hills,CA,95762,125,50,0.35,0.3,6.99,NULL,NULL
Save Mart,EVgo,386 Elm Avenue,Auburn,CA,95603,125,50,0.35,0.3,6.99,NULL,NULL
Whole Foods Roseville,EVgo,1001 Galleria Boulevard,Roseville,CA,95678,125,50,0.35,0.3,6.99,NULL,NULL
Walmart,EVgo,235 East Dorset Drive,Dixon,CA,95620,125,50,0.35,0.3,6.99,NULL,NULL
Walmart,EVgo,6650 Hembree Lane,Windsor,CA,95492,125,50,0.35,0.3,6.99,NULL,NULL
Lucky,EVgo,776 Gravenstein Highway North,Sebastopol,CA,95472,125,50,0.35,0.3,6.99,NULL,NULL
Nugget Market -Elk Grove,Shell Recharge,7101 Elk Grove Boulevard,Elk Grove,CA,95758,125,50,0.23,NULL,NULL,NULL,NULL
Sacramento Food Coop,Shell Recharge,2820 R Street,Sacramento,CA,95816,125,50,0.23,NULL,NULL,NULL,NULL
Raley's,EVgo,1 Cadillac Drive,Sacramento,CA,95825,125,50,0.35,0.3,6.99,NULL,NULL
Colfax Public Parking Lot,EVgo,1 North Main Street,Colfax,CA,95713,125,50,0.35,0.3,6.99,NULL,NULL
Raley's,EVgo,4050 Sunrise Boulevard,Rancho Cordova,CA,95742,125,50,0.35,0.3,6.99,NULL,NULL
Walmart,EVgo,755 Riverpoint Ct,West Sacramento,CA,95605,125,50,0.35,0.3,6.99,NULL,NULL
Laytonville Supercharger,ChargePoint,45020 US-101,Laytonville,CA,95454,62,62,0.58,NULL,NULL,NULL,NULL
St Helena Public Parking Lot,EVgo,1304 Oak Avenue,Saint Helena,CA,94574,125,50,0.35,0.3,6.99,NULL,NULL
Walmart - Elk Grove,Electrify America,8465 Elk Grove Boulevard,Elk Grove,CA,95758,875,350,0.43,0.31,4,NULL,NULL
America's Best Value Inn,Electrify America,3930 County Road 89,Dunnigan,CA,95937,875,350,0.43,0.31,4,NULL,NULL
Market West,Electrify America,3270 Arena Boulevard,Sacramento,CA,95834,875,350,0.43,0.31,4,NULL,NULL
Laguna Village,Electrify America,8785 Center Parkway,Sacramento,CA,95823,875,350,0.43,0.31,4,NULL,NULL
The Cannery,Electrify America,1651 Alhambra Boulevard,Sacramento,CA,95816,875,350,0.43,0.31,4,NULL,NULL
16th & L Street Parking Lot,Electrify America,1601 L Street,Sacramento,CA,95814,875,350,0.43,0.31,4,NULL,NULL
Riverpoint Marketplace,Electrify America,767 Ikea Court,West Sacramento,CA,95605,875,350,0.43,0.31,4,NULL,NULL
Walmart - North Highland,Electrify America,4675 Watt Avenue,North Highland,CA,95660,875,350,0.43,0.31,4,NULL,NULL
Target - Sacramento,Electrify America,3601 North Freeway Boulevard,Sacramento,CA,95834,875,350,0.43,0.31,4,NULL,NULL
Sacramento International Airport - Cell Phone Lot,None,Lindbergh Drive,Sacramento,CA,95837,NULL,NULL,0.23,NULL,NULL,NULL,NULL
Harley Davisdon,ChargePoint,4401 Granite Drive,Rocklin,CA,95677,50,24,0.3,NULL,NULL,NULL,NULL
Walmart - Sacramento,Electrify America,6051 Florin Road,Sacramento,CA,95823,875,350,0.43,0.31,4,NULL,NULL
Sacramento International Airport,Electrify America,6900 Airport Boulevard,Sacramento,CA,95837,875,350,0.43,0.31,4,NULL,NULL
Briar Patch Coop,ChargePoint,290 Sierra College Drive,Grass Valley,CA,95945,62,62,0.55,NULL,NULL,NULL,NULL
Harley Davidson,ChargePoint,1000 Arden Way,Sacramento,CA,95815,50,24,0,NULL,NULL,NULL,NULL
McDonald's,ChargePoint,1139 South Cloverdale Boulevard,Cloverdale,CA,95425,62,62,0.58,NULL,NULL,NULL,NULL
Target - Rocklin,Electrify America,5104 Commons Drive,Rocklin,CA,95677,875,350,0.43,0.31,4,NULL,NULL
Target - Sacramento,Electrify America,6507 4th Avenue,Sacramento,CA,95817,875,350,0.43,0.31,4,NULL,NULL
Dine N Dash Parking Lot,ChargePoint,1516 South Canyon Way,Colfax,CA,95713,62,62,0.58,NULL,NULL,NULL,NULL
Chevron Parking Lot,ChargePoint,4040 Road 89,Dunnigan,CA,95937,100,50,0.58,NULL,NULL,NULL,NULL
Target,Electrify America,2505 Riverside Boulevard,Sacramento,CA,95818,875,350,0.43,0.31,4,NULL,NULL
Chevron Santa Rosa,ChargePoint,879 Hopper Avenue,Santa Rosa,CA,95403,62,62,0.58,NULL,NULL,NULL,NULL
Santa Rosa Plaza,Electrify America,1071 Santa Rosa Plaza,Santa Rosa,CA,95401,875,350,0.43,0.31,4,NULL,NULL
120 Grass Valley Hwy,ChargePoint,120 Grass Valley Highway,Auburn,CA,95603,62,62,0.58,NULL,NULL,NULL,NULL
Vacaville Premium Outlets,Electrify America,321 Nut Tree Road,Vacaville,CA,95687,875,350,0.43,0.31,4,NULL,NULL
Walmart - Willows,Electrify America,470 Airport Road,Willows,CA,95988,875,350,0.43,0.31,4,NULL,NULL
Southside Park,EVgo,2115 6th Street,Sacramento,CA,95818,125,50,0.35,0.3,6.99,NULL,NULL
"Shop N' Save - Williams, CA",EVgo,421 7th Street,Williams,CA,95987,125,50,0.35,0.3,6.99,NULL,NULL
County Fair Fashion Mall,EVgo,1264 East Gibson Road Ste E500,Woodland,CA,95776,125,50,0.35,0.3,6.99,NULL,NULL
Black Bear - Willows A1,EVgo,246 North Humboldt Avenue,Willows,CA,95988,125,50,0.35,0.3,6.99,NULL,NULL
Whole Foods Market,EVgo,733 Coddingtown Ctr,Santa Rosa,CA,95401,125,50,0.35,0.3,6.99,NULL,NULL
Bradshaw Shell,Shell Recharge,3591 Bradshaw Road,Sacramento,CA,95827,125,50,0.25,NULL,NULL,NULL,1.99
City of Elk Grove Civic Center- Aquatics,None,9701 Big Horn Drive,Elk Grove,CA,95758,NULL,NULL,NULL,NULL,NULL,NULL,NULL
City of Elk Grove Civic Center- Community Center,None,8230 Civic Center Drive,Elk Grove,CA,95758,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Berry Patch Restaurant,EVgo,900 Newville Road,Orland,CA,95963,125,50,0.35,0.3,6.99,NULL,NULL
PetsMart Center,EVgo,865 Colusa Avenue,Yuba City,CA,95991,125,50,0.35,0.3,6.99,NULL,NULL
Sierra Nevada,ChargePoint,1085 East 20th Street,Chico,CA,95928,50,24,0,NULL,NULL,NULL,NULL
Sacramento Valley Station,Shell Recharge,401 I Street,Sacramento,CA,95814,125,50,0.23,NULL,NULL,NULL,NULL
Target,Electrify America,1919 Fulton Avenue,Sacramento,CA,95825,875,350,0.43,0.31,4,NULL,NULL
Auburn Target,ChargePoint,2700 East Bell Road,Auburn,CA,95603,62,62,0.58,NULL,NULL,NULL,NULL
Department of Transportation Station,None,12983 State Highway 20,Clearlake Oaks,CA,95423,NULL,NULL,0,NULL,NULL,NULL,NULL
Tupi Coffee,ChargePoint,1610 Arden Way,Sacramento,CA,95815,62,62,0.35,NULL,NULL,NULL,NULL
Burger King,ChargePoint,711 East Perkins Street,Ukiah,CA,95482,62,62,0.5,NULL,NULL,NULL,NULL
Safeway,Electrify America,845 South Main Street,Willits,CA,95490,875,350,0.43,0.31,4,NULL,NULL
10860 Gold Center Drive,Shell Recharge,10860 Gold Center Drive,Rancho Cordova,CA,95670,125,50,0.35,NULL,NULL,NULL,NULL
Folsom Premium Outlets,Electrify America,13000 Folsom Boulevard,Folsom,CA,95630,875,350,0.43,0.31,4,NULL,NULL
7-Eleven,ChargePoint,4010 Lake Road,West Sacramento,CA,95691,62,62,0.57,NULL,NULL,NULL,NULL
134 Browns Valley Parkway,ChargePoint,130 Browns Valley Parkway,Vacaville,CA,95688,62,62,0.58,NULL,NULL,NULL,NULL
13647 Arnold Drive,ChargePoint,13647 Arnold Drive,Glen Ellen,CA,95442,62,62,0.65,NULL,NULL,NULL,NULL
Bank of America,Electrify America,325 East Street,Davis,CA,95616,875,350,0.43,0.31,4,NULL,NULL
165 Magnolia Avenue,ChargePoint,165 Magnolia Avenue,Auburn,CA,95603,62,62,0.5,NULL,NULL,NULL,NULL
Walmart,Electrify America,4625 Redwood Drive,Rohnert Park,CA,94928,875,350,0.43,0.31,4,NULL,NULL
Chevron,ChargePoint,2789 East Bidwell Street,Folsom,CA,95630,62,62,0.5,NULL,NULL,NULL,NULL
Shell,Shell Recharge,3721 Truxel Road,Sacramento,CA,95834,125,50,0.39,NULL,NULL,NULL,NULL
Shell,Shell Recharge,1216 Galleria Boulevard,Roseville,CA,95678,125,50,0.39,NULL,NULL,NULL,NULL
8830 East Stockton Boulevard,Shell Recharge,8830 East Stockton Boulevard,Elk Grove,CA,95624,125,50,0.39,NULL,NULL,NULL,NULL
Westfield Galleria at Roseville,Electrify America,1151 Galleria Boulevard,Roseville,CA,95678,875,350,0.43,0.31,4,NULL,NULL
7-eleven,ChargePoint,400 Mace Boulevard,Davis,CA,95618,62,62,0.46,NULL,NULL,NULL,NULL
Bank of America Chico,Electrify America,400 Broadway Street,Chico,CA,95928,875,350,0.43,0.31,4,NULL,NULL
Curbside 506 14th Street,EVgo,506 14th Street,Sacramento,CA,95814,125,50,0.35,0.3,6.99,NULL,NULL
Target,Electrify America,1153 Butte House Road,Yuba City,CA,95991,875,350,0.43,0.31,4,NULL,NULL
Courtyard by Marriott Sacramento,EVCS,1782 Tribute Road,Sacramento,CA,95815,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hampton Inn & Suites Sacramento,EVCS,2230 Auburn Boulevard,Sacramento,CA,95821,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Holiday Inn Express & Suites Sacramento,EVCS,2224 Auburn Boulevard,Sacramento,CA,95821,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hilton Arden West Sacramento,EVCS,2200 Harvard Street,Sacramento,CA,95815,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fairfield Inn Cal Expo,EVCS,1780 Tribute Road,Sacramento,CA,95815,NULL,NULL,NULL,NULL,NULL,NULL,NULL
County EVSE Pub Park 3,ChargePoint,725 7th Street,Sacramento,CA,95814,62,62,0,NULL,NULL,NULL,NULL
Patel & Chirag Motel 6,Electrify America,1819 Auburn Ravine Road,Auburn,CA,95603,875,350,0.43,0.31,4,NULL,NULL
Curbside 22nd Street,EVgo,926 22nd Street,Sacramento,CA,95816,125,50,0.35,0.3,6.99,NULL,NULL
Cherry Magnolia 03,ChargePoint,138 Magnolia Avenue,Auburn,CA,95603,62,62,0.5,NULL,NULL,NULL,NULL
Chico VW DC Wallbox 1,ChargePoint,902 Main Street,Chico,CA,95928,26,23.9,0.25,NULL,NULL,NULL,NULL
Healdsburg,Shell Recharge,33 Healdsburg Avenue,Healdsburg,CA,95448,100,40,NULL,NULL,NULL,NULL,NULL
Crystal View,ChargePoint,6529 Pony Express Trail,Pollock Pines,CA,95726,62,62,0.25,NULL,NULL,NULL,4.95
Save Mart - Truckee,Electrify America,11399 Deerfield Drive.,Truckee,CA,96161,875,350,0.43,0.31,4,NULL,NULL
Save Mart,EVgo,100 River Road,Tahoe City,CA,96145,125,50,0.35,0.3,6.99,NULL,NULL
Pines Shopping Center,EVgo,6450 Pony Express Trl,Pollock Pines,CA,95726,125,50,0.35,0.3,6.99,NULL,NULL
Raleys',EVgo,166 Placerville Drive,Placerville,CA,95667,125,50,0.35,0.3,6.99,NULL,NULL
Dutch Flat 76 Station,EVgo,25 Canyon Creek Road,Dutch Flat,CA,95714,125,50,0.35,0.3,6.99,NULL,NULL
Shell,EVgo,41965 Nyack Road,Emigrant Gap,CA,95715,125,50,0.35,0.3,6.99,NULL,NULL
Shell,EVgo,53102 Donner Pass Road,Soda Springs,CA,95728,125,50,0.35,0.3,6.99,NULL,NULL
Raley's,EVgo,1020 Emerald Bay Road,South Lake Tahoe,CA,96150,125,50,0.35,0.3,6.99,NULL,NULL
Strawberry Station General Store,EVgo,17481 US-50,Twin Bridges,CA,95735,125,50,0.35,0.3,6.99,NULL,NULL
Placerville,ChargePoint,1200 Broadway,Placerville,CA,95667,62,62,0.58,NULL,NULL,NULL,NULL
McDonald's,ChargePoint,1184 Broadway,Placerville,CA,95667,62,62,0.58,NULL,NULL,NULL,NULL
Save Mart,EVgo,11399 Deerfield Drive,Truckee,CA,96161,125,50,0.35,0.3,6.99,NULL,NULL
DC Corridor Truckee,ChargePoint,10069 Church Street,Truckee,CA,96161,62,62,0.25,NULL,NULL,NULL,4.95
Strawberry Lodge,ChargePoint,17510 US-50,Kyburz,CA,95735,62,62,0.58,NULL,NULL,NULL,NULL
2012 Lake Tahoe Boulevard,ChargePoint,2012 Lake Tahoe Boulevard,South Lake Tahoe,CA,96150,62,62,0.5,NULL,NULL,NULL,NULL
South Lake Tahoe,Electrify America,3344 Lake Tahoe Boulevard,South Lake Tahoe,CA,96150,875,350,0.43,0.31,4,NULL,NULL
Lucky's Travel Plaza,ChargePoint,90 Cisco Road,Soda Springs,CA,95728,62,62,0.58,NULL,NULL,NULL,NULL
Bank of America,Electrify America,3044 Sacramento Street,Placerville,CA,95667,875,350,0.43,0.31,4,NULL,NULL
Arcata Town Hall,ChargePoint,601 8th Street,Arcata,CA,95521,62,62,0.58,NULL,NULL,NULL,NULL
Target,ChargePoint,1280 Dana Drive,Redding,CA,96003,62,62,0.5,NULL,NULL,NULL,NULL
260 Keisner,ChargePoint,260 Keisner,Loleta,CA,95551,62,62,0.52,NULL,NULL,NULL,NULL
Vittles Family Restaurant,ChargePoint,2385 North Street,Anderson,CA,96007,62,62,0.58,NULL,NULL,NULL,NULL
Safeway - Anderson,Electrify America,2601 Balls Ferry Road,Anderson,CA,96007,875,350,0.43,0.31,4,NULL,NULL
20725 Lakeshore Drive,ChargePoint,20725 Lakeshore Drive,Lakehead-Lakeshore,CA,96051,62,62,0.58,NULL,NULL,NULL,NULL
Eureka-Bayshore Mall,Electrify America,3300 Broadway Street,Eureka,CA,95501,875,350,0.43,0.31,4,NULL,NULL
Moon Lim Lee Rest Area Parking Lot,ChargePoint,CA-299,Douglas City,CA,96024,62,62,0,NULL,NULL,NULL,NULL
Garberville-One LogHouse,Electrify America,705 US 101,Garberville,CA,95542,875,350,0.43,0.31,4,NULL,NULL
Best Western Antelope Inn & Suites,ChargePoint,203 Antelope Boulevard,Red Bluff,CA,96080,62,62,0.58,NULL,NULL,NULL,NULL
Benbow Inn,ChargePoint,445 Lake Benbow Drive,Garberville,CA,95542,62,62,0.5,NULL,NULL,NULL,NULL
872 Sundial Bridge Dr.,ChargePoint,872-880 Sundial Bridge Drive,Redding,CA,96001,62,62,0.2,NULL,NULL,NULL,NULL
TA Corning,Shell Recharge,3524 Highway 99 West,Corning,CA,96021,200,100,0.5,NULL,NULL,NULL,NULL
Willow Creek Maintenance Station,None,634 Highway 96,Willow Creek,CA,95573,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Comfort Inn,ChargePoint,1844 Shastina Drive,Weed,CA,96094,62,62,0.52,NULL,NULL,NULL,NULL
YAKS on the 5,ChargePoint,4917 Dunsmuir Avenue,Dunsmuir,CA,96025,62,62,0.52,NULL,NULL,NULL,NULL
111 Morgan Way,ChargePoint,134 Morgan Way,Mount Shasta,CA,96067,62,62,0.52,NULL,NULL,NULL,NULL
McDonald's - Yreka Junction,ChargePoint,1842 Fort Jones Road,Yreka,CA,96097,62,62,0.52,NULL,NULL,NULL,NULL
N Indian Rd Casino and Hotel,ChargePoint,350 North Indian Road,Smith River,CA,95567,62,62,0.52,NULL,NULL,NULL,NULL
101 S Stop,ChargePoint,655 US-101,Crescent City,CA,95531,62,62,0.52,NULL,NULL,NULL,NULL
Walmart - Crescent City,Electrify America,900 East Washington Boulevard,Crescent City,CA,95531,875,350,0.43,0.31,4,NULL,NULL
Walmart - Yreka,Electrify America,1906 Fort Jones Road,Yreka,CA,96097,875,350,0.43,0.31,4,NULL,NULL
171 Klamath Boulevard,ChargePoint,185 Klamath Boulevard,Klamath,CA,95548,62,62,0.52,NULL,NULL,NULL,NULL
Collier Street Parking Lot,ChargePoint,Unnamed Road,Hornbrook,CA,96044,62,62,0,NULL,NULL,NULL,NULL
Yreka Truck,ChargePoint,787 Montague Road,Yreka,CA,96097,62,62,0.25,NULL,NULL,NULL,NULL
10700 Us-101,Shell Recharge,10700 US-101,Smith River,CA,95567,100,40,0.45,NULL,NULL,NULL,NULL
Fontana Nissan,None,16444 South Highland Avenue,Fontana,CA,92336,NULL,NULL,0,NULL,NULL,NULL,NULL
Orange Coast Nissan,None,2850 Harbor Boulevard,Costa Mesa,CA,92626,NULL,NULL,0,NULL,NULL,NULL,NULL
Anaheim Plaza,EVgo,510 North Euclid Street,Anaheim,CA,92801,125,50,0.35,0.3,6.99,NULL,NULL
Courtyard by Marriott Costa Mesa South Coast Metro,EVgo,3002 South Harbor Boulevard,Santa Ana,CA,92704,125,50,0.35,0.3,6.99,NULL,NULL
Bank of America,Electrify America,1685 East Katella Avenue,Anaheim,CA,92805,875,350,0.43,0.31,4,NULL,NULL
Costa Mesa City Hall,ChargePoint,77 Fair Drive,Costa Mesa,CA,92626,62,62,0.38,NULL,NULL,NULL,NULL
BOA Magnolia Park,Electrify America,3400 West MAGNOLIA Boulevard,Burbank,CA,91505,875,350,0.43,0.31,4,NULL,NULL
South Coast Plaza,ChargePoint,3333 Bear Street,Costa Mesa,CA,92626,62,62,NULL,NULL,NULL,0.16,NULL
Ralph's,Electrify America,17840 VENTURA Boulevard,Encinco,CA,91316,875,350,0.43,0.31,4,NULL,NULL
Metro Pointe,Evgo,969 South Coast Drive,Costa Mesa,CA,92626,125,50,0.35,0.3,6.99,NULL,NULL
City of Porterville,EVConnect,61 West Oak Avenue,Porterville,CA,93257,350,350,0.25,NULL,NULL,NULL,NULL
Momentum Nissan,None,2545 Auto Mall Parkway,Fairfield,CA,94533,NULL,NULL,0,NULL,NULL,NULL,NULL
Whole Foods Market - Telegraph Avenue,Evgo,3000 Telegraph Avenue,Berkeley,CA,94705,125,50,0.35,0.3,6.99,NULL,NULL
Raley's,Evgo,10430 Twin Cities Road,Galt,CA,95632,125,50,0.35,0.3,6.99,NULL,NULL
UC Davis Health Station 1,ChargePoint,4800 2nd Avenue,Sacramento,CA,95817,62,62,0,NULL,NULL,NULL,NULL
