STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,AMPS,KW,NON_KWH,MEM_KWH,MEM_FEE_PER_MONTH,RATE_PER_MIN,FLATE_FEE
Walmart - Salem,Electrify America,3025 Lancaster Drive Northeast,Salem,OR,97305,875,350,0.43,0.31,4,NULL,NULL
Madras Chamber of Commerce,ChargePoint,274 Southwest 4th Street,Madras,OR,97741,62,62,0.28,NULL,NULL,NULL,NULL
Walmart - Albany,Electrify America,1330 Goldfish Farm Road Southeast,Albany,OR,97322,875,350,0.43,0.31,4,NULL,NULL
Walmart - Grants Pass,Electrify America,135 Northeast Terry Lane,Grants Pass,OR,97526,875,350,0.43,0.31,4,NULL,NULL
Pacific Power,ChargePoint,70 Northwest Newport Avenue,Bend,OR,97703,62,62,0.28,NULL,NULL,NULL,NULL
"Target T0612 - Springfield, OR",Electrify America,2750 Gateway Street,Springfield,OR,97477,875,350,0.43,0.31,4,NULL,NULL
Mercedes Benz,ChargePoint,2200 Martin Luther King Jr Boulevard,Eugene,OR,97401,62,62,NULL,NULL,NULL,0.3,NULL
Otis Fuel and Market,ChargePoint,1264 Salmon River Highway,Otis,OR,97368,62,62,0.28,NULL,NULL,NULL,NULL
"Madras, OR City Hall",OpConnect,71 Southeast D Street,Madras,OR,97741,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pin Square,ChargePoint,Pine Street North 6th Street,Klamath Falls,OR,97601,62,62,0.28,NULL,NULL,NULL,NULL
Pacific Power Mill City,ChargePoint,143 Northeast Wall Street,Mill City,OR,97360,62,62,0.28,NULL,NULL,NULL,NULL
Otec John Day,ChargePoint,240 South Canyon Boulevard,John Day,OR,97845,62,62,0.29,NULL,NULL,NULL,3
Walmart,Electrify America,160 Northwest 25th Street,Newport,OR,97365,875,350,0.43,0.31,4,NULL,NULL
Dallas Aquatic Center,EVConnect,1005 Southeast Lacreole Drive,Dallas,OR,97338,125,50,NULL,NULL,NULL,0.1,NULL
Walmart,Electrify America,20120 Southwest Pinebrook Boulevard,Bend,OR,97702,875,350,0.43,0.31,4,NULL,NULL
City of Albany Revitalization Agency,EVConnect,180 Ferry Street (parking lot across the street),Albany,OR,97321,62,25,0.35,NULL,NULL,NULL,NULL
Otec Harney Chamber,ChargePoint,484 North Broadway Avenue,Burns,OR,97720,62,62,0.29,NULL,NULL,NULL,3
Wolf Creek Inn,EVCS,100 Front Street,Wolf Creek,OR,97497,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mill City - Moutain Ridge Café,EVCS,320 Northwest Santiam Boulevard,Mill City,OR,97360,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mercedes Benz of Medford,ChargePoint,3240 Crater Lake Avenue,Medford,OR,97504,62,62,0.63,NULL,NULL,NULL,NULL
108 New Street,ChargePoint,108 New Street,Talent,OR,97540,62,62,0.3,NULL,NULL,NULL,NULL
WCEH - Brookings,EVCS,325 5th Street,Brookings,OR,97415,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Coos Bay - Fred Meyer,EVCS,1020 1st Street,Coos Bay,OR,97420,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hyundai Service,ChargePoint,2020 Mission Street Southeast,Salem,OR,97302,62,62,0.48,NULL,NULL,NULL,NULL
1900 Hines Street Southeast,ChargePoint,1900 Hines Street Southeast,Salem,OR,97302,62,62,0.48,NULL,NULL,NULL,NULL
T & T Country Store - Huntington,Electrify America,40 WASHINGTON STREET West,Huntington,OR,97907,875,350,0.43,0.31,4,NULL,NULL
Ray Schultens Nissan,None,2400 West 6th Street,The Dalles,OR,97058,NULL,NULL,0,NULL,NULL,NULL,NULL
Arlington Oregon City Hall,OpConnect,1310 Locust Avenue,Arlington,OR,97812,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Government Camp - Ski Bowl West,Webasto,87000 East Highway 26,Government Camp,OR,97028,NULL,NULL,NULL,NULL,19.99,NULL,7.5
The Dalles - Fred Meyer,Webasto,1215 West 6th Street,The Dalles,OR,97058,NULL,NULL,NULL,NULL,19.99,NULL,7.5
City of Cascade Locks Public Parking Lot,Webasto,95 N.E. Wa Na Pa,Cascade Locks,OR,97014,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Welches - Barlow Trail Roadhouse,Webasto,69580 East Highway 26,Welches,OR,97067,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Hood River - City of Hood River Public Parking Lot,Webasto,607 Columbia Street,Hood River,OR,97031,NULL,NULL,NULL,NULL,19.99,NULL,7.5
Fred Meyer,Electrify America,16625 Southeast 362nd Drive,Sandy,OR,97055,875,350,0.43,0.31,4,NULL,NULL
Fred Meyer - Portland,Blink,3030 Northeast Weidler Street,Portland,OR,97232,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lloyd Center,ChargePoint,2252 Lloyd Center,Portland,OR,97232,100,50,0.2,NULL,NULL,0.04,NULL
