STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,AMPS,KW,NON_KWH,MEM_KWH,MEM_FEE_PER_MONTH,RATE_PER_MIN,FLATE_FEE
Target - Renton,Electrify America,1215 North Landing Way,Renton,WA,98057,875,350,0.43,0.31,4,NULL,NULL
Target - Lynnwood,Electrify America,18305 Alderwood Mall Parkway,Lynnwood,WA,98037,875,350,0.43,0.31,4,NULL,NULL
Walmart - Lacey,Electrify America,1401 Galaxy Drive Northeast,Lacey,WA,98516,875,350,0.43,0.31,4,NULL,NULL
Walmart - Covington,Electrify America,17432 Southeast 270th Place,Covington,WA,98042,875,350,0.43,0.31,4,NULL,NULL
Seattle Premium Outlets,Electrify America,10600 Quil Ceda Boulevard,Tulalip,WA,98271,875,350,0.43,0.31,4,NULL,NULL
Walmart - Tacoma,Electrify America,1965 South Union Avenue,Tacoma,WA,98405,875,350,0.43,0.31,4,NULL,NULL
Harley Davisdon,ChargePoint,5711 188th Street Southwest,Lynnwood,WA,98037,50,24,0.16,NULL,NULL,NULL,1
Harley Davisdon,ChargePoint,2302 Pacific Highway East,Fife,WA,98424,50,24,NULL,NULL,NULL,0.1,NULL
Harley Davisdon,ChargePoint,2350 136th Place Northeast,Bellevue,WA,98005,50,24,0.16,NULL,NULL,NULL,NULL
Harley Davisdon,ChargePoint,8000 Freedom Lane Northeast,Lacey,WA,98516,50,24,0.55,NULL,NULL,NULL,NULL
Walmart - Everett,Electrify America,1605 Southeast Everett Mall Way,Everett,WA,98208,875,350,0.43,0.31,4,NULL,NULL
Target - Lake Stevens,Electrify America,9601 Market Place,Lake Stevens,WA,98258,875,350,0.43,0.31,4,NULL,NULL
Jet City Harley-Davidson,ChargePoint,3715 East Valley Road,Renton,WA,98057,50,24,0.1,NULL,NULL,NULL,NULL
Simon Northgate Mall,Electrify America,401 Northeast Northgate Way,Seattle,WA,98125,875,350,0.43,0.31,4,NULL,NULL
Target - Tukwila,Electrify America,301 Strander Boulevard,Tukwila,WA,98188,875,350,0.43,0.31,4,NULL,NULL
Target - Issaquah,Electrify America,755 Northwest Gillman Boulevard,Issaquah,WA,98027,875,350,0.43,0.31,4,NULL,NULL
Walmart - Monroe,Electrify America,19191 North Kelsey Street,Monroe,WA,98272,875,350,0.43,0.31,4,NULL,NULL
Fred Meyer - Bothell,Electrify America,21045 Bothell Everett Highway,Bothell,WA,98021,875,350,0.43,0.31,4,NULL,NULL
DuPont Ace Hardware,EVgo,1585 McNeil Street,DuPont,WA,98327,125,50,0.29,0.25,6.99,NULL,NULL
Sea-Tac Airport Cell Phone Lot,EVgo,2623 South 170th Street,Seattle,WA,98188,125,50,0.29,0.25,6.99,NULL,NULL
Seattle City Light S Service,Shell Recharge,409 South Spokane Street,Seattle,WA,98134,125,50,0.33,NULL,NULL,NULL,NULL
Whole Foods Lynwood,EVgo,2808 196th Street Southwest,Lynnwood,WA,98036,125,50,0.29,0.25,6.99,NULL,NULL
Lee Johnson Nissan,EVConnect,11930 124th Avenue Northeast,Kirkland,WA,98034,120,50,0.3,NULL,NULL,NULL,NULL
LeMay-America's Car Museum,EVgo,2702 East D Street,Tacoma,WA,98421,125,50,0.29,0.25,6.99,NULL,NULL
Magnuson Park,Shell Recharge,Sportsfield Drive Northeast,Seattle,WA,98115,125,50,0.33,NULL,NULL,NULL,NULL
Harvard Market,EVgo,1406 Harvard Avenue,Seattle,WA,98122,125,50,0.29,0.25,6.99,NULL,NULL
South Seattle College,ChargePoint,6000 16th Avenue Southwest,Seattle,WA,98106,100,50,0.25,NULL,NULL,NULL,2.95
Target,Electrify America,17700 Northeast 76th Street,Redmond,WA,98052,875,350,0.43,0.31,4,NULL,NULL
Cafaro South Hill Mall,Electrify America,3700 South MERIDIAN,PUYALLUP,WA,98373,875,350,0.43,0.31,4,NULL,NULL
Bank of America,Electrify America,14003 Northeast Woodinville Duvall Road,Woodinville,WA,98072,875,350,0.43,0.31,4,NULL,NULL
Madison Miller,Shell Recharge,2113 East Olive Street,Seattle,WA,98122,125,50,0.33,NULL,NULL,NULL,NULL
Alaska Junction SCL,Shell Recharge,4535 39th Avenue Southwest,Seattle,WA,98116,125,50,0.33,NULL,NULL,NULL,NULL
Rainier Beach,Electrify America,9019 Rainier Avenue South,Seattle,WA,98118,875,350,0.43,0.31,4,NULL,NULL
13050 Interurban Avenue So.,Shell Recharge,13050 Interurban Avenue So.,Tukwila,WA,98168,100,40,0.36,NULL,NULL,NULL,NULL
