STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,CHARGE_SPEED,PRICE_RAW
Whataburger-Exxon,EVgo,3799 North Houston School Road,Lancaster,TX,75134.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens,EVgo,5742 East Mockingbird Lane,Dallas,TX,75206.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens,EVgo,780 West Bedford Euless Road,Hurst,TX,76053.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Cracker Barrel Freedom Station,EVgo,13301 South Freeway,Burleson,TX,76028.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Grubbs Nissan Grapevine,None,310 Airport Freeway,Bedford,TX,76022.0,"? A, ? kW",Cost: 0.00$ / Free
Walgreens - Lake Worth,EVgo,6244 Lake Worth Boulevard,Fort Worth,TX,76135.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Cracker Barrel - Mesquite,EVgo,5304 North Galloway Avenue,Mesquite,TX,75150.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens,EVgo,4515 Camp Bowie Boulevard,Fort Worth,TX,76107.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Trophy Nissan,None,5031 North Galloway Avenue,Mesquite,TX,75150.0,"? A, ? kW",Cost: 0.00$ / Free
Walgreens - Mansfield,EVgo,750 North Walnut Creek Drive,Mansfield,TX,76063.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens - Haltom City,EVgo,4520 Western Center Boulevard,Haltom City,TX,76137.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Cracker Barrel - Desoto,EVgo,1421 North Interstate 35 East,Desoto,TX,75115.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Stampede Harley Davidson,ChargePoint,240 North Burleson Boulevard,Burleson,TX,76028.0,"50 A, 24 kW",Cost: Parking 10 USD per hour Flat Fee 0 USD Min Fee 0 USD Max Fee 100 USD
Walmart - Ennis,Electrify America,700 East Ennis Avenue,Ennis,TX,75119.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Sam's Club - Westworth Village,Electrify America,6760 Westworth Boulevard,Westworth Village,TX,76114.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Harley Davisdon,ChargePoint,1 Texas Harley Way,Bedford,TX,76021.0,"50 A, 24 kW",Cost: Parking 0.1 USD per minute for first 60 mins Parking 0.2 USD per minute after 60 mins
Harley Davisdon,ChargePoint,3025 West Loop 820 South,FORT WORTH,TX,76116.0,"50 A, 24 kW",Cost: Free
2415 Global Drive,ChargePoint,2415 Global Drive,Irving,TX,75062.0,"60 A, 24 kW",Cost: Free
Autobahn BMW,ChargePoint,2810 White Settlement Road,Fort Worth,TX,76107.0,"50 A, 24 kW",Cost: Free
Clay Cooley Nissan,None,1500 East Airport Freeway,Irving,TX,75062.0,"? A, ? kW",Cost: 0.00$ / Free
Longhorn Harley,ChargePoint,2830 I-20 Frontage Road,Grand Prairie,TX,75052.0,"50 A, 24 kW",Cost: Parking 0.1 USD per minute for first 60 mins Parking 0.2 USD per minute after 60 mins
Shops at Clearfork,EVgo,5188 Monahans Avenue,Fort Worth,TX,76109.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus"": $0.24/min, free for reservations, Membership fee: $6.99/month"
AutoNation Hyundai,ChargePoint,7724 Northeast Loop 820,North Richland Hills,TX,76180.0,"62 A, 62 kW",Cost: Free
Bob Stallings Hyundai,ChargePoint,39444 Lyndon B Johnson Freeway,Dallas,TX,75232.0,"62 A, 62 kW",Cost: Time 1.25 USD per hour Parking 0 USD per hour for first 60 mins Parking 3 USD per hour after 60 mins
Jerry's Cadillac,EVConnect,3110 Fort Worth Highway,Weatherford,TX,76087.0,"125 A, 50 kW",Cost: 0.25$ / kWh Time not charging: $5/hr after 15 mins
Retail Shop Parking Lot,ChargePoint,1575 North,Kerrville,TX,78028.0,"100 A, 50 kW",Cost: Energy 0.17 USD per kWh Parking 0 USD per minute
Harley Davisdon,ChargePoint,7230 Northwest Loop 410,San Antonio,TX,78245.0,"50 A, 24 kW",Cost: Free
Econo Lodge - Junction,Electrify America,111 Martinez Street,Junction,TX,76849.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Nissan - Boerne,None,31805 Interstate Highway 10 West,Boerne,TX,78006.0,"? A, ? kW",Cost: 0.00$ / Free
Kerrville Pub,ChargePoint,2108 Sidney Baker Street,Kerrville,TX,78028.0,"62 A, 62 kW",Cost: 9.60$ / Hour $9.6/hr: after 30 mins; Time not charging: $5/hr after 30 mins
The Shops at La Cantera,Volta,15900 La Cantera Parkway,San Antonio,TX,78256.0,"? A, ? kW",Cost: Free
North Park Volkswagen,Unknown,21819 Interstate 10,San Antonio,TX,78257.0,"92 A, 22 kW",Cost: Free
Segovia Truck Stop,None,465 Old Segovia Road,Junction,TX,76849.0,"? A, ? kW",Cost: Unknown
Harley Davisdon,ChargePoint,502 South Padre Island Drive,Corpus Christi,TX,78405.0,"50 A, 24 kW",Cost: 30.00$ / Hour Time not charging: $30/hr
Mercedes-Benz of Laredo,ChargePoint,6912 Bob Bullock Loop,Laredo,TX,78041.0,"62 A, 62 kW",Cost: 15.00$ / Hour
Fuel America 2,ChargePoint,I-35 Frontage Road,Encinal,TX,78019.0,"62 A, 62 kW",Cost: 15.60$ / Hour Time not charging: $15.6/hr
Faifield Inn & Suites Corpus Christi Central,"Tesla, Unknown",522 South Padre Island Drive,Corpus Christi,TX,78405.0,"50 A, 50 kW",Cost: Unknown
Ed Hicks Imports,ChargePoint,3102 South Padre Island Drive,Corpus Christi,TX,78415.0,"62 A, 62 kW",Cost: 0.30$ / kWh
AutoNation Hyundai Corpus Christi,ChargePoint,6686 South Padre Island Drive,Corpus Christi,TX,78412.0,"62 A, 62 kW",Cost: Free
Village At Westlake,ChargePoint,701 South Capital of Texas Highway,Austin,TX,78746.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
Abia Retail and Cell Phone Lot,ChargePoint,2901 Spirit of Texas Drive,Austin,TX,78719.0,"62 A, 62 kW",Cost: 12.60$ / Hour Time not charging: $12.6/hr
